Scer1	Scer2	Cgla1	Cgla2	Klac	Calb	n.NAs
YLR144C	NA	CAGL0M04565g	NA	KLLA0D17050g	orf19.3417	2
YBR153W	NA	CAGL0F05203g	NA	KLLA0F21120g	orf19.6341	2
YLR145W	NA	CAGL0M04587g	NA	KLLA0D17072g	orf19.4962	2
YLR146C	NA	CAGL0M04609g	NA	KLLA0D17094g	orf19.4960	2
YLR147C	NA	CAGL0M04631g	NA	KLLA0D17160g	orf19.4146	2
YLR148W	NA	CAGL0M04653g	NA	KLLA0D17182g	orf19.5584	2
YLR149C	NA	CAGL0K10824g	NA	KLLA0D17248g	orf19.5125	2
YLR150W	NA	CAGL0E00869g	NA	Klac_YGOB_STM1	orf19.5943.1	2
YLR151C	NA	CAGL0K10846g	NA	KLLA0D17292g	orf19.6591	2
YLR152C	NA	NA	NA	KLLA0D17314g	NA	4
YBR154C	NA	CAGL0I07799g	NA	KLLA0F21098g	orf19.6340	2
YLR163C	NA	CAGL0H02739g	NA	KLLA0D18095g	orf19.3026	2
YLR165C	NA	CAGL0H02717g	NA	KLLA0D18172g	orf19.3114	2
YLR166C	NA	CAGL0K08404g	NA	KLLA0D18260g	orf19.3086	2
YLR167W	NA	CAGL0G08173g	NA	KLLA0D18304g	orf19.3087	2
YLR170C	NA	CAGL0B04983g	NA	KLLA0F22814g	orf19.1012	2
YLR172C	NA	CAGL0B04961g	NA	KLLA0F22836g	orf19.1124.2	2
YLR173W	NA	CAGL0B04939g	NA	KLLA0F22858g	NA	3
YLR174W	YNL009W	CAGL0B04917g	CAGL0H03663g	KLLA0F12342g	orf19.3733	0
YLR175W	NA	CAGL0H03685g	NA	KLLA0D04796g	orf19.1833	2
YLR176C	NA	CAGL0H03751g	CAGL0B04895g	KLLA0D04862g	orf19.3865	1
YAL033W	NA	CAGL0M11836g	NA	KLLA0F02453g	orf19.275	2
YBR155W	NA	CAGL0H07425g	NA	KLLA0B09966g	orf19.6052	2
YLR178C	NA	CAGL0B01100g	NA	KLLA0C01738g	orf19.1974	2
YLR181C	NA	CAGL0B01144g	NA	KLLA0C01804g	orf19.5275	2
YLR182W	NA	CAGL0B01166g	NA	KLLA0C01826g	orf19.4725	2
YLR186W	NA	CAGL0B01232g	NA	KLLA0C01914g	orf19.665	2
YLR187W	YNL278W	CAGL0J08349g	NA	KLLA0C01969g	orf19.5274	1
YLR188W	NA	CAGL0E00385g	NA	KLLA0C01991g	orf19.2615	2
YLR189C	NA	NA	NA	KLLA0C02035g	orf19.2616	3
YLR190W	NA	CAGL0A04169g	NA	KLLA0E19757g	NA	3
YLR191W	NA	CAGL0A04147g	NA	KLLA0E19735g	orf19.7282	2
YLR192C	NA	CAGL0A04125g	NA	KLLA0E19669g	orf19.7613	2
YBR156C	NA	CAGL0H07447g	NA	KLLA0B09944g	orf19.6049	2
YLR193C	NA	CAGL0A04103g	NA	KLLA0E19581g	orf19.6600	2
YLR194C	NA	CAGL0A04081g	NA	KLLA0E19559g	NA	3
YLR195C	NA	CAGL0A04059g	NA	KLLA0E19537g	orf19.4641	2
YLR196W	NA	CAGL0A04037g	NA	KLLA0E19515g	orf19.4640	2
YLR197W	NA	CAGL0A04015g	NA	KLLA0D12254g	orf19.7569	2
YLR199C	NA	CAGL0A03993g	NA	KLLA0D12276g	orf19.6604	2
YLR200W	NA	CAGL0A03971g	NA	KLLA0D12298g	orf19.6601.1	2
YLR201C	NA	CAGL0A03949g	NA	KLLA0D12320g	orf19.6602	2
YBR157C	NA	CAGL0H07469g	NA	KLLA0B09900g	NA	3
YLR203C	NA	CAGL0A03927g	NA	KLLA0D12430g	orf19.7577	2
YLR204W	NA	NA	CAGL0A03883g	KLLA0D12452g	NA	3
YLR205C	NA	CAGL0A03905g	NA	KLLA0D12474g	orf19.6073	2
YLR207W	NA	CAGL0J08756g	NA	KLLA0C16665g	orf19.1191	2
YLR208W	NA	CAGL0J08778g	CAGL0I03454g	KLLA0C16643g	orf19.316	1
YLR209C	NA	CAGL0J08800g	NA	KLLA0C16621g	orf19.317	2
YLR211C	NA	CAGL0J08866g	NA	KLLA0C16291g	NA	3
YLR212C	NA	CAGL0J08888g	NA	KLLA0C16247g	orf19.1238	2
YLR213C	NA	CAGL0J08910g	NA	KLLA0F04906g	NA	3
YLR214W	NA	NA	NA	KLLA0F04950g	NA	4
YBR158W	NA	CAGL0H07491g	NA	KLLA0B09856g	orf19.1507	2
YLR215C	NA	CAGL0J08932g	NA	KLLA0F04972g	orf19.2721	2
YLR216C	NA	CAGL0J08954g	NA	KLLA0F05093g	orf19.7654	2
YLR218C	NA	CAGL0J08976g	NA	KLLA0F05137g	orf19.1667.1	2
YLR219W	NA	CAGL0C00671g	NA	KLLA0F13354g	orf19.7006	2
YLR220W	NA	CAGL0C00693g	NA	KLLA0F13288g	orf19.6948	2
YLR221C	NA	CAGL0C00715g	NA	KLLA0F13266g	orf19.773	2
YLR222C	NA	CAGL0C00737g	NA	KLLA0F13244g	orf19.4268	2
YLR224W	NA	CAGL0C01155g	NA	NA	orf19.5587	3
YLR226W	NA	CAGL0C01177g	NA	KLLA0F13134g	orf19.4284	2
YLR227C	NA	NA	NA	KLLA0F13090g	NA	4
YBR159W	NA	CAGL0H07513g	NA	KLLA0B09812g	orf19.3859	2
YLR229C	NA	CAGL0F05269g	NA	KLLA0A04213g	orf19.390	2
YLR231C	NA	NA	NA	NA	orf19.394	4
YLR234W	NA	CAGL0G08470g	NA	KLLA0F20724g	orf19.5934	2
YLR237W	NA	CAGL0G08448g	NA	NA	NA	4
YLR239C	NA	CAGL0G08404g	NA	KLLA0D18777g	orf19.3010	2
YLR240W	NA	CAGL0G08360g	NA	KLLA0D18645g	orf19.6243	2
YLR241W	NA	CAGL0G08338g	NA	KLLA0D18623g	orf19.5932	2
YLR242C	NA	CAGL0G08316g	NA	KLLA0D18601g	orf19.5931	2
YLR243W	NA	CAGL0G08294g	NA	KLLA0D18557g	orf19.3130	2
YLR244C	NA	CAGL0G08250g	NA	KLLA0D18436g	orf19.3124	2
YBR160W	NA	CAGL0H07535g	NA	KLLA0B09790g	orf19.3856	2
YLR245C	NA	CAGL0G08228g	NA	KLLA0D18414g	orf19.3123.2	2
YLR246W	NA	CAGL0G08217g	NA	KLLA0D18370g	orf19.4466	2
YLR247C	NA	CAGL0B05049g	NA	KLLA0F12166g	NA	3
YLR249W	YNL014W	CAGL0B03487g	NA	KLLA0F12210g	orf19.4152	1
YLR250W	NA	CAGL0H03597g	NA	KLLA0F12254g	orf19.3173	2
YLR251W	NA	CAGL0B03465g	NA	KLLA0F22924g	orf19.21	2
YLR253W	NA	CAGL0B03443g	NA	KLLA0F22946g	orf19.4144	2
YLR254C	NA	NA	NA	NA	orf19.6148	4
YLR256W	NA	CAGL0B03421g	CAGL0K05841g	KLLA0F22990g	orf19.4145	1
YLR257W	NA	CAGL0F04697g	NA	KLLA0F23078g	NA	3
YBR161W	YPL057C	CAGL0M05621g	CAGL0M07315g	KLLA0B09768g	NA	1
YLR259C	NA	CAGL0K05973g	NA	KLLA0F09449g	orf19.717	2
YLR260W	YOR171C	CAGL0L04554g	CAGL0K05995g	KLLA0F20504g	NA	1
YLR262C	NA	CAGL0K06017g	NA	KLLA0F20471g	orf19.714	2
YLR262C-A	NA	CAGL0K06033g	NA	KLLA0F20460g	orf19.6599.1	2
YLR263W	NA	CAGL0K06039g	NA	KLLA0F20405g	NA	3
YLR264W	YOR167C	CAGL0L04510g	CAGL0K06061g	KLLA0F20383g	orf19.7048.1	0
YLR265C	NA	CAGL0K06083g	NA	KLLA0F20339g	NA	3
YLR266C	YOR162C	CAGL0L04400g	NA	NA	NA	3
YLR267W	NA	CAGL0K06105g	NA	NA	NA	4
YLR268W	NA	CAGL0C03179g	NA	KLLA0F20251g	orf19.479.2	2
YBR162C	NA	CAGL0M05599g	NA	KLLA0B09746g	orf19.1690	2
YLR270W	YOR173W	CAGL0C03113g	CAGL0L04598g	KLLA0F20229g	orf19.6901	0
YLR271W	NA	NA	NA	KLLA0F20207g	orf19.1877	3
YLR272C	NA	CAGL0C03135g	NA	KLLA0F20119g	orf19.1883	2
YLR273C	YOR178C	CAGL0F04917g	CAGL0H04037g	KLLA0D09240g	NA	1
YLR274W	NA	CAGL0F04939g	NA	KLLA0D09262g	orf19.5487	2
YLR275W	NA	CAGL0F04961g	NA	KLLA0D09284g	orf19.5486.1	2
YLR276C	NA	CAGL0F04983g	NA	KLLA0C04576g	orf19.3393	2
YLR277C	YOR179C	CAGL0F05005g	CAGL0G09779g	KLLA0C04598g	orf19.5486	0
YLR278C	NA	CAGL0G09757g	NA	KLLA0C04620g	NA	3
YLR281C	NA	CAGL0F05027g	NA	KLLA0C04642g	orf19.5488	2
YBR162W-A	NA	CAGL0M05593g	NA	KLLA0B09724g	orf19.242.2	2
YLR283W	NA	CAGL0F05049g	NA	KLLA0C04664g	orf19.811	2
YLR284C	NA	CAGL0F05071g	NA	KLLA0C04686g	orf19.6445	2
YLR285W	NA	CAGL0M09801g	NA	KLLA0C04708g	orf19.4375	2
YLR286C	NA	CAGL0M09779g	NA	KLLA0C04730g	orf19.7586	2
YLR287C	NA	CAGL0M09757g	NA	KLLA0C04796g	orf19.6597	2
YLR287C-A	YOR182C	CAGL0G09713g	NA	KLLA0C04809g	NA	2
YLR288C	NA	CAGL0M09735g	NA	KLLA0C04840g	orf19.5485	2
YLR289W	NA	CAGL0I00660g	NA	KLLA0C04862g	orf19.5483	2
YLR290C	NA	CAGL0I00638g	NA	KLLA0A04411g	orf19.7092	2
YLR291C	NA	CAGL0G09669g	NA	KLLA0C05082g	orf19.825	2
YBR163W	NA	CAGL0M05577g	NA	KLLA0B09680g	orf19.4392	2
YLR292C	NA	CAGL0I00616g	NA	KLLA0C05104g	orf19.4180	2
YLR293C	YOR185C	CAGL0I00594g	NA	KLLA0C05126g	orf19.5493	1
YLR295C	NA	CAGL0I00572g	NA	KLLA0C05170g	orf19.5491.1	2
YLR298C	NA	CAGL0I00528g	NA	KLLA0C05192g	orf19.5492	2
YLR299W	NA	CAGL0I00506g	NA	KLLA0C05236g	orf19.6053	2
YLR300W	YOR190W	CAGL0I00484g	CAGL0G09515g	KLLA0C05324g	orf19.2990	0
YLR301W	NA	CAGL0I00462g	NA	KLLA0C05390g	orf19.6788	2
YLR304C	NA	CAGL0D06424g	NA	KLLA0C17314g	orf19.6385	2
YLR305C	NA	CAGL0D06446g	NA	KLLA0C17292g	orf19.1814	2
YAL032C	NA	CAGL0M11814g	NA	KLLA0F02475g	orf19.5513	2
YBR164C	NA	CAGL0I10835g	NA	KLLA0E24773g	orf19.4603	2
YLR306W	NA	CAGL0D06468g	NA	KLLA0C17248g	orf19.5411	2
YLR308W	NA	CAGL0E03421g	CAGL0D06490g	KLLA0C17226g	orf19.7503	1
YLR309C	NA	CAGL0E03454g	NA	KLLA0C17204g	orf19.2410	2
YLR312C	NA	NA	NA	NA	NA	5
YLR312W-A	NA	CAGL0E03520g	NA	KLLA0C17402g	orf19.3755	2
YLR314C	NA	CAGL0E03564g	NA	KLLA0D04114g	orf19.1055	2
YLR315W	NA	CAGL0F08591g	NA	KLLA0C18425g	NA	3
YLR316C	NA	CAGL0A00847g	NA	KLLA0C18403g	orf19.5090	2
YLR318W	NA	CAGL0A00869g	NA	KLLA0C18381g	orf19.5089	2
YLR319C	NA	CAGL0A00891g	NA	KLLA0C18359g	orf19.5087	2
YBR165W	NA	CAGL0I10813g	NA	KLLA0E24751g	NA	3
YLR320W	NA	CAGL0A00913g	NA	KLLA0C18337g	NA	3
YLR321C	NA	CAGL0F08569g	CAGL0A00825g	KLLA0C18447g	orf19.5093	1
YLR323C	NA	CAGL0A00935g	NA	KLLA0C18260g	orf19.2105	2
YLR325C	NA	CAGL0A00979g	NA	KLLA0C18216g	orf19.2111.2	2
YLR326W	NA	CAGL0A01001g	NA	KLLA0C18161g	orf19.2106	2
YLR329W	NA	CAGL0G00792g	NA	KLLA0C17930g	NA	3
YLR330W	NA	CAGL0G00814g	NA	KLLA0D04422g	orf19.807	2
YLR335W	NA	CAGL0G00902g	NA	KLLA0B06138g	orf19.6665	2
YLR336C	NA	CAGL0G00924g	NA	KLLA0B06116g	orf19.4363	2
YLR337C	NA	CAGL0G00968g	NA	KLLA0B06039g	orf19.2190	2
YBR166C	NA	CAGL0M06017g	NA	KLLA0E24729g	orf19.4605	2
YLR340W	NA	CAGL0G00990g	NA	KLLA0B05918g	orf19.7015	2
YLR341W	NA	CAGL0G01012g	NA	KLLA0B05885g	NA	3
YLR343W	NA	CAGL0G01056g	NA	KLLA0B05808g	orf19.3693	2
YLR345W	NA	CAGL0G01100g	NA	KLLA0B05709g	orf19.3689	2
YLR347C	NA	CAGL0G01144g	NA	KLLA0B05665g	orf19.3681	2
YLR351C	NA	CAGL0G01210g	NA	KLLA0A02453g	orf19.2351	2
YLR352W	NA	CAGL0B03113g	NA	KLLA0A02519g	orf19.606	2
YOL153C	NA	NA	NA	NA	NA	5
YLR355C	NA	CAGL0B03047g	NA	KLLA0A02673g	orf19.88	2
YBR167C	NA	CAGL0M06039g	NA	KLLA0E24663g	orf19.4168	2
YLR359W	NA	CAGL0B02794g	NA	KLLA0B13189g	orf19.3870	2
YLR360W	NA	CAGL0B02772g	NA	KLLA0B13145g	NA	3
YLR361C	NA	CAGL0B02761g	NA	KLLA0B13134g	orf19.843	2
YLR362W	NA	CAGL0B02739g	NA	KLLA0B13112g	orf19.844	2
YLR363C	NA	CAGL0G05005g	NA	KLLA0B08107g	orf19.1525	2
YLR363W-A	NA	CAGL0G04983g	NA	KLLA0B08041g	orf19.6316.4	2
YLR364W	NA	CAGL0G04961g	NA	KLLA0B07975g	NA	3
YLR368W	NA	CAGL0G04939g	NA	KLLA0B07865g	NA	3
YLR369W	NA	CAGL0G04917g	NA	KLLA0B07843g	orf19.7179	2
YLR370C	NA	CAGL0G04895g	NA	KLLA0B07821g	orf19.121	2
YBR168W	NA	CAGL0M06061g	NA	KLLA0E24641g	orf19.2313	2
YLR372W	NA	CAGL0G04851g	NA	KLLA0B07777g	orf19.908	2
YLR376C	NA	CAGL0H04895g	NA	KLLA0E01255g	NA	3
YLR377C	NA	CAGL0H04939g	CAGL0I04048g	KLLA0E01211g	orf19.6178	1
YLR378C	NA	CAGL0H04961g	NA	KLLA0E01145g	orf19.6176	2
YLR380W	NA	CAGL0H05005g	CAGL0D00946g	KLLA0E05369g	orf19.5711	1
YLR381W	NA	CAGL0H05027g	NA	KLLA0E05347g	orf19.5701	2
YLR382C	NA	CAGL0H05049g	NA	KLLA0E05325g	orf19.5705	2
YLR383W	NA	CAGL0H05071g	NA	KLLA0E05303g	orf19.6568	2
YLR384C	NA	CAGL0H05093g	NA	KLLA0E05237g	orf19.2631	2
YBR169C	YPL106C	CAGL0M06083g	NA	KLLA0E24597g	NA	2
YLR385C	NA	CAGL0H05115g	NA	KLLA0E05215g	NA	3
YLR386W	NA	CAGL0H06501g	NA	KLLA0E05193g	orf19.6411	2
YLR387C	NA	CAGL0H06479g	NA	KLLA0E05171g	orf19.6407	2
YLR389C	NA	CAGL0H06457g	NA	KLLA0E05105g	orf19.5561	2
YLR390W	NA	CAGL0H06435g	NA	KLLA0E05083g	NA	3
YLR390W-A	NA	CAGL0H06413g	NA	KLLA0E04995g	orf19.7030	2
YLR392C	NA	CAGL0C02673g	NA	NA	orf19.3701	3
YLR393W	NA	CAGL0C02651g	NA	KLLA0E04973g	orf19.6374	2
YLR394W	NA	CAGL0C02629g	NA	KLLA0B03333g	orf19.5212	2
YLR395C	NA	CAGL0C02623g	NA	KLLA0B03311g	orf19.5213.1	2
YBR170C	NA	CAGL0M06105g	NA	KLLA0E24575g	orf19.2434	2
YLR396C	NA	CAGL0C02607g	NA	KLLA0B03267g	orf19.5214	2
YLR397C	NA	CAGL0C02585g	NA	KLLA0B03234g	orf19.6432	2
YLR398C	NA	CAGL0C02563g	NA	KLLA0B03179g	orf19.6425	2
YLR401C	NA	CAGL0M09977g	NA	KLLA0B03069g	orf19.1565	2
YLR403W	NA	CAGL0D00682g	CAGL0M09955g	KLLA0B03047g	orf19.5953	1
YLR404W	NA	CAGL0M09933g	NA	KLLA0B03025g	NA	3
YLR405W	NA	CAGL0M09911g	NA	KLLA0B02959g	orf19.966	2
YLR407W	NA	CAGL0M09889g	NA	KLLA0B02893g	orf19.3569	2
YLR408C	NA	CAGL0M09867g	NA	KLLA0B02871g	NA	3
YBR171W	NA	CAGL0M06127g	NA	KLLA0E24553g	orf19.3843	2
YLR409C	NA	CAGL0M09845g	NA	KLLA0B02827g	orf19.1566	2
YLR410W	NA	CAGL0M09823g	NA	KLLA0B02805g	orf19.980	2
YLR411W	NA	NA	NA	NA	NA	5
YLR412W	NA	CAGL0F05093g	NA	KLLA0B02739g	orf19.970	2
YLR414C	NA	CAGL0J04466g	NA	KLLA0B02585g	orf19.6741	2
YLR417W	NA	CAGL0J04488g	NA	KLLA0B02541g	orf19.795	2
YLR418C	NA	CAGL0J04510g	NA	KLLA0D03036g	orf19.2983	2
YLR419W	NA	CAGL0J04532g	NA	KLLA0D03058g	orf19.6818	2
YLR420W	NA	CAGL0J04598g	NA	KLLA0D02926g	orf19.1977	2
YBR172C	YPL105C	CAGL0H05929g	CAGL0M06149g	KLLA0E24531g	orf19.3141	0
YLR421C	NA	CAGL0J04620g	NA	KLLA0D02882g	orf19.1058	2
YLR422W	NA	CAGL0J04642g	NA	KLLA0D02860g	orf19.815	2
YLR423C	NA	CAGL0J04686g	NA	KLLA0D02750g	orf19.2982	2
YLR424W	NA	CAGL0J04708g	NA	KLLA0D02728g	orf19.2980	2
YLR425W	NA	CAGL0J04752g	NA	KLLA0D02618g	orf19.6842	2
YLR427W	NA	CAGL0J04796g	NA	KLLA0D02552g	orf19.5676	2
YLR429W	NA	CAGL0J04818g	NA	KLLA0D02530g	orf19.6534.2	2
YLR430W	NA	CAGL0M00990g	NA	KLLA0B05555g	orf19.5938	2
YLR431C	NA	CAGL0M00968g	NA	KLLA0B05533g	NA	3
YBR173C	NA	CAGL0M06171g	NA	KLLA0E24509g	orf19.3140.1	2
YLR433C	YML057W	CAGL0L11110g	NA	KLLA0B05489g	NA	2
YLR435W	NA	CAGL0M00946g	NA	KLLA0B05467g	orf19.2998	2
YLR436C	NA	CAGL0M00924g	NA	KLLA0B05445g	orf19.2996	2
YLR437C	YML058W	CAGL0L11132g	CAGL0M00902g	KLLA0B05423g	orf19.5642	0
YLR438W	NA	CAGL0M00880g	NA	KLLA0B05247g	orf19.5641	2
YLR438C-A	NA	CAGL0M00874g	NA	KLLA0B05203g	orf19.6135.1	2
YLR439W	NA	CAGL0M00858g	NA	KLLA0B05181g	orf19.6136	2
YLR440C	NA	CAGL0M00836g	NA	KLLA0B05115g	orf19.6134	2
YLR441C	YML063W	CAGL0M00814g	NA	KLLA0B05060g	NA	2
YLR442C	YML065W	CAGL0L11264g	CAGL0M00770g	KLLA0B05016g	NA	1
YAL031C	NA	CAGL0M11792g	NA	KLLA0F02497g	orf19.3728	2
YBR175W	NA	CAGL0M06193g	NA	KLLA0E24487g	orf19.3457	2
YLR443W	NA	CAGL0M00748g	NA	KLLA0B04994g	orf19.5643	2
YLR445W	NA	CAGL0M00726g	NA	KLLA0B04928g	NA	3
YLR446W	NA	CAGL0M00682g	NA	NA	NA	4
YLR447C	NA	CAGL0M00660g	NA	KLLA0B04752g	orf19.364	2
YLR448W	YML073C	CAGL0L11462g	NA	KLLA0B04686g	orf19.3003.1	1
YLR449W	YML074C	CAGL0L11484g	CAGL0M00638g	KLLA0B04664g	NA	1
YLR450W	YML075C	CAGL0L11506g	NA	KLLA0B04642g	NA	2
YLR451W	NA	CAGL0H00396g	NA	KLLA0D10593g	orf19.4225	2
YLR452C	NA	CAGL0H00374g	NA	KLLA0D10549g	orf19.4222	2
YBR176W	NA	CAGL0M06215g	NA	KLLA0E24399g	orf19.6057	2
YLR454W	NA	CAGL0H00330g	NA	KLLA0B10582g	orf19.3422	2
YLR455W	NA	CAGL0H00308g	NA	KLLA0B10802g	orf19.3428	2
YLR456W	YPR172W	CAGL0I06424g	CAGL0H00286g	KLLA0B10824g	orf19.4220	0
YLR457C	YPR174C	CAGL0H00264g	NA	KLLA0E04753g	NA	2
YLR459W	NA	CAGL0H00220g	NA	KLLA0E04907g	orf19.4341	2
YLR460C	NA	NA	NA	NA	NA	5
YLR461W	NA	NA	NA	NA	NA	5
YNL333W	NA	NA	NA	NA	NA	5
YNL334C	NA	NA	NA	NA	NA	5
YLR462W	NA	NA	NA	NA	NA	5
YNR060W	NA	NA	NA	NA	NA	5
YCL069W	NA	NA	NA	NA	NA	5
YKR106W	NA	NA	NA	NA	NA	5
YLR464W	NA	NA	NA	NA	NA	5
YLL061W	NA	NA	NA	NA	NA	5
YKL220C	NA	NA	NA	NA	orf19.1932	4
YLR466W	NA	NA	NA	NA	NA	5
YEL072W	NA	NA	NA	NA	orf19.6852	4
YBR177C	YPL095C	CAGL0M06237g	NA	KLLA0E24201g	orf19.3040	1
YLR467W	NA	NA	NA	NA	NA	5
YIR038C	NA	NA	NA	NA	orf19.359	4
YLR154C	NA	NA	NA	NA	NA	5
YML133C	NA	NA	NA	NA	NA	5
YML132W	NA	NA	NA	NA	NA	5
YML131W	NA	CAGL0K12958g	NA	NA	orf19.3544	3
YAL067C	NA	NA	NA	NA	orf19.700	4
YML130C	NA	CAGL0H06919g	NA	KLLA0D10241g	orf19.4871	2
YML129C	NA	CAGL0K10956g	NA	KLLA0D10417g	NA	3
YML128C	NA	CAGL0B02563g	NA	KLLA0D10439g	orf19.7310	2
YNR067C	NA	NA	NA	NA	orf19.3066	4
YML127W	NA	CAGL0B02541g	NA	KLLA0D10461g	orf19.2473	2
YML126C	NA	CAGL0H04081g	NA	KLLA0D10505g	orf19.7312	2
YKL070W	NA	NA	NA	NA	orf19.7098	4
YML125C	YML087C	CAGL0B02519g	NA	KLLA0C16918g	orf19.7307	1
YCR098C	NA	NA	NA	NA	orf19.34	4
YBR179C	NA	CAGL0M06259g	NA	KLLA0E24179g	orf19.1422	2
YML124C	YML085C	CAGL0B02497g	NA	KLLA0C16874g	NA	2
YML123C	NA	CAGL0B02475g	NA	Klac_YGOB_Anc_8.858	orf19.655	2
YML121W	NA	CAGL0B02453g	NA	KLLA0C06358g	orf19.3617	2
YML120C	NA	CAGL0B02431g	NA	KLLA0C06336g	NA	3
YML119W	NA	CAGL0B02409g	NA	KLLA0C06292g	NA	3
YML118W	YMR285C	CAGL0I02684g	CAGL0B02387g	KLLA0C06248g	NA	1
YML117W	NA	CAGL0B02365g	NA	KLLA0D01485g	NA	3
YML116W	YMR279C	CAGL0B02343g	CAGL0M03003g	NA	NA	2
YML115C	NA	CAGL0B02321g	NA	KLLA0D01529g	orf19.6738	2
YML114C	NA	CAGL0B02299g	NA	KLLA0D01617g	orf19.5346	2
YBR180W	NA	CAGL0M06281g	NA	KLLA0E24113g	orf19.553	2
YML113W	NA	CAGL0B02277g	NA	KLLA0D01837g	NA	3
YML112W	NA	CAGL0J06754g	NA	KLLA0D01815g	orf19.5350	2
YML111W	YMR275C	CAGL0J06732g	CAGL0F03465g	KLLA0D01793g	NA	1
YML110C	NA	CAGL0J06710g	NA	KLLA0D01771g	orf19.3577	2
YML109W	YMR273C	CAGL0F03421g	CAGL0J06688g	KLLA0D01683g	NA	1
YML108W	NA	CAGL0J06666g	NA	KLLA0D01661g	orf19.3887	2
YML107C	NA	CAGL0J06622g	NA	KLLA0D01881g	NA	3
YML106W	YMR271C	CAGL0J06600g	NA	KLLA0D01903g	orf19.2555	1
YML105C	NA	CAGL0J06578g	NA	KLLA0D01925g	orf19.2557	2
YML104C	NA	CAGL0J06556g	NA	KLLA0D01958g	orf19.2565	2
YBR181C	YPL090C	CAGL0M06303g	CAGL0H05643g	KLLA0E24047g	NA	1
YML103C	NA	CAGL0J06534g	NA	KLLA0E11067g	orf19.4808	2
YML102W	NA	CAGL0J06512g	NA	KLLA0E11177g	orf19.6670	2
YML100W	YMR261C	CAGL0H02387g	CAGL0J06468g	KLLA0E11265g	NA	1
YML099C	NA	CAGL0H06875g	NA	KLLA0D10197g	orf19.4766	2
YML098W	NA	CAGL0H06897g	NA	KLLA0D10219g	orf19.5174	2
YML097C	NA	CAGL0H06941g	NA	KLLA0D10263g	orf19.5533	2
YML096W	NA	CAGL0H06963g	NA	KLLA0D10285g	orf19.3626	2
YML095C	NA	CAGL0L00363g	NA	KLLA0D10307g	orf19.2469	2
YBR182C	YPL089C	CAGL0H05621g	CAGL0M06325g	KLLA0E24025g	NA	1
YML094W	NA	CAGL0L00385g	NA	KLLA0D10329g	orf19.2471	2
YML093W	NA	CAGL0H06985g	NA	KLLA0D10351g	orf19.7552	2
YML092C	NA	CAGL0H07007g	NA	KLLA0D10373g	orf19.7335	2
YML091C	NA	CAGL0I06380g	NA	KLLA0D10483g	orf19.48	2
YML088W	NA	CAGL0H04103g	NA	KLLA0C16940g	orf19.50	2
YML086C	NA	CAGL0H04125g	NA	KLLA0C16896g	orf19.7551	2
YML083C	NA	NA	NA	NA	NA	5
YML081C-A	NA	CAGL0H04191g	NA	KLLA0B04400g	orf19.2066.1	2
YML080W	NA	CAGL0H04235g	NA	KLLA0B04499g	orf19.1404	2
YBR183W	YPL087W	CAGL0H05599g	CAGL0M06347g	KLLA0E23981g	NA	1
YML079W	NA	NA	NA	KLLA0B04521g	NA	4
YML078W	NA	CAGL0H04301g	NA	KLLA0B04565g	orf19.1552	2
YML077W	NA	CAGL0H04345g	NA	KLLA0B04609g	orf19.302	2
YML076C	NA	CAGL0H04367g	NA	KLLA0B04620g	orf19.1035	2
YML072C	NA	CAGL0L11440g	NA	KLLA0B04708g	orf19.3003	2
YML071C	NA	CAGL0L11418g	NA	KLLA0B04730g	orf19.36	2
YML070W	NA	CAGL0L11374g	NA	KLLA0B04884g	NA	3
YML069W	NA	CAGL0L11352g	NA	KLLA0B04906g	orf19.1560	2
YML068W	NA	CAGL0L11330g	NA	NA	orf19.5942	3
YML067C	NA	CAGL0L11308g	NA	KLLA0B04950g	orf19.5941	2
YBR184W	NA	NA	NA	NA	NA	5
YML066C	NA	CAGL0L11286g	NA	KLLA0B04972g	orf19.5644	2
YML064C	NA	CAGL0L11242g	NA	KLLA0B05038g	orf19.3001	2
YML062C	NA	CAGL0L11220g	NA	KLLA0B05082g	NA	3
YML061C	NA	CAGL0L11198g	NA	KLLA0B05137g	orf19.6133	2
YML060W	NA	CAGL0L11176g	NA	KLLA0B05159g	orf19.7190	2
YML059C	NA	CAGL0L11154g	NA	KLLA0B05225g	orf19.6396	2
YML058W-A	NA	NA	NA	NA	NA	5
YML056C	YLR432W	CAGL0K10780g	NA	KLLA0B05511g	orf19.18	1
YML055W	NA	CAGL0K10758g	NA	KLLA0D02574g	orf19.4181	2
YML054C	NA	CAGL0K10736g	NA	KLLA0D02640g	orf19.5000	2
YBR185C	NA	CAGL0M06391g	NA	KLLA0E23893g	orf19.7386	2
YML052W	NA	CAGL0L01551g	NA	KLLA0A08184g	orf19.3414	2
YML051W	NA	NA	NA	KLLA0A08162g	NA	4
YML050W	NA	CAGL0L01529g	NA	KLLA0A08140g	orf19.612	2
YML049C	NA	CAGL0L01507g	NA	KLLA0A08129g	orf19.5391	2
YML048W	NA	CAGL0L01485g	NA	KLLA0A08107g	orf19.6082	2
YML046W	NA	CAGL0L01441g	NA	KLLA0A08019g	orf19.1492	2
YML043C	NA	CAGL0J11792g	NA	KLLA0C05852g	orf19.718	2
YML042W	NA	CAGL0J11836g	NA	KLLA0A02123g	orf19.4591	2
YML041C	NA	CAGL0J11814g	NA	KLLA0A02145g	orf19.4677	2
